-Spada-
angeltoangela
anime_maniax
Ayumu5599
Blackstarfangirl
BladeChildren
boa555
Candace2Min
cartoonlover159
CatBubble
chainshipper
Chellle
Clubs
cuaky
Dark_Ichi
DesertEagle
Duvalie
Emptyk
Gin-Toshi
Harout
Icy-nee-san
Imposer12
Jiruga0005
Kaio_
KaitoKief
kawaii-mio
kayze
kibazedd
kirAth-shiAue
mangafreakZX
Miyako22
MN_22
mshitsugaya10
Nails
Otaku-Helz
phyress
PurpleTenshi
RedHinata
SageShinigami
Saku_Chan
Sayanna
schui
shadowmanga
Snowkittenz
spider-ren
Theoldnaruhina
trishoverman47
xiaotama
Yinyangotaku
YunnoIRC
