-------------
-Venus-
00Wolfram
01kokoro
11cloe321
adommyed
Angelicdemon
Angel_Dash
Anime2000
annabloem
AshFangirlLisa
BabyLuvs2Write
bananasdaughter
bloom0099
Brodi
calcifer_demon
cemre
ChezTheDemon
D4wGhosty
Darkgreen12
DELETE-ME-ADMINS
demonangle73
Demonax
DemonFromRight
Demonica
DemonicAngelLulu
DemonicSoul19
demonicsquirrel
DemonkingRen
Demonluver
DemonWareXT
Dezdemona
Eko_bundlE
elsey951
Eridanus
Githul
