-Danae
-HatakeKakashi-
-Taylor-
Acosmist
Addison
Akitsuki
Alextrazsa
Animedood
animeluver
Annasaur-
asianvampbabble
Asuka_sama
Athena_Alice
Batmanfreak
baxter09
Beowulf-
bitchneko
BlazingDevil
BleakBurst
Blueruby
boonieboo
briansbutt
broly294
CarinaBelle
cha-chan
chainshipper
Chellle
Cherry_Blossoms
Chibi_Louise
CNyle
d0ragonkaze
DarkDonut-San
darkdragon
darkdreamer
darkwolfangel
DD213
DeadlyRain
death24
dgirl1997
dianne-chan
down-on-ur-KNEES
Featherine
firespike15
Foashroom
Foxheart417
Frost_Angel
Gothykins
GrimReaper2M
Guitarfreak41658
hannaverra
Hayato_Matsuo
hellwolf
Hikaru_Chan
HunniBunni
hunnybunny-chan
Ichimaru-senpai
Invierno
JinxedFox
Kibora
kirzel034
kiyomigirl
LacusClyne_Sama
Legacy9691
Liljirachifan
LilyRein
lovelessxx
manganinjapickle
MasterBanne
mattskell
MidnightSky
miko_hayashi
MissedLyrics
MystearicaKnight
Nagisa_10
namiepants
naruto-Chan
narutoswolf3
Neko_Momo-chan
Neko_Rap
ookami-natsu
OverjoyedTuna
overlord-dante
Phantom-Fai-san
PichuRox124
Power-Ranger
pupsia
Red_Butterfly
Red_Rideing_Hood
reyjohn325
Rima-Senpai
RisaHatashi
Sajaho
Samus12
santa-san6
sasuke_demon
Seasonreaper
Seight
SennaStrife
shadowvampire
shaku1347
Sigma_21
SinisterRose
skullhunterj
slylou123
Spooky13
switter
TakuTaku
takuya1
the_bloody_rose
TohkaShido
TokiDoki_ami
ToxxicDreamer
Tsukiyomi_Utau
uchihasasuke1995
umbreon506
vizardmask09
Wakamiya_Hikaru
WaldoLuver36
wicky1096
wolf-girl136
Wolfen-
xaldin
xtinkerbell
xx-Berry-xx
xx-Chizzy-xx
XxDeffDreadxX
xXKatRyzXx
xXKumiKeitorinXx
xxShadow_Nekoxx
Xxxemo-angelxxX
x_DinosaurAnna_x
Yukari-chan12
Zero_Alastor
Zheng1991
