16-02-033|4999|Asu no Yoichi!|0|12|1|Low
16-02-033|235|Detective Conan|0|0|1|Low
16-02-033|33145|Detective Conan: Chase the Mysterious Comet Monster!|0|0|1|Low
16-02-033|22043|Fairy Tail (2014)|0|0|1|Low
16-02-033|10213|Maji de Watashi ni Koi Shinasai!|0|12|1|Low
16-02-033|11761|Medaka Box|0|12|1|Low
16-02-033|1738|Muteki Kanban Musume|0|12|1|Low
16-02-033|21|One Piece|0|0|1|Low
16-02-033|329|Planetes|0|26|1|Low
16-02-033|1559|Shijou Saikyou no Deshi Kenichi|0|50|1|Low
16-02-033|1568|Sumomomo Momomo: Chijou Saikyou no Yome|0|22|1|Low
16-02-033|1860|Tokyo Majin Gakuen Kenpucho: Tou|0|14|1|Low
16-02-033|12431|Uchuu Kyoudai|0|99|1|Low
16-02-033|12291|Acchi Kocchi (TV)|0|12|2|Low
16-02-033|22199|Akame ga Kill!|0|24|2|Low
16-02-033|22729|Aldnoah.Zero|0|12|2|Low
16-02-033|6547|Angel Beats!|0|13|2|Low
16-02-033|9989|Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.|0|11|2|Low
16-02-033|15039|Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie|0|1|2|Low
16-02-033|24833|Ansatsu Kyoushitsu|0|22|2|Low
16-02-033|30205|Aoharu x Kikanjuu|0|12|2|Low
16-02-033|66|Azumanga Daioh|0|26|2|Low
16-02-033|2251|Baccano!|0|13|2|Low
16-02-033|6347|Baka to Test to Shoukanjuu|0|13|2|Low
16-02-033|8516|Baka to Test to Shoukanjuu Ni!|0|13|2|Low
16-02-033|7674|Bakuman.|0|25|2|Low
16-02-033|22789|Barakamon|0|12|2|Low
16-02-033|57|Beck|0|26|2|Low
16-02-033|9513|Beelzebub|0|60|2|Low
16-02-033|13535|Binbougami ga!|0|13|2|Low
16-02-033|11285|Black★Rock Shooter (TV)|0|8|2|Low
16-02-033|10490|Blood-C|0|12|2|Low
16-02-033|31043|Boku dake ga Inai Machi|0|12|2|Low
16-02-033|1222|Bokura ga Ita|0|26|2|Low
16-02-033|21405|Bokura wa Minna Kawai-sou|0|12|2|Low
16-02-033|10163|C: The Money of Soul and Possibility Control|0|11|2|Low
16-02-033|232|Cardcaptor Sakura|0|70|2|Low
16-02-033|28999|Charlotte|0|13|2|Low
16-02-033|1575|Code Geass: Hangyaku no Lelouch|0|25|2|Low
16-02-033|2904|Code Geass: Hangyaku no Lelouch R2|0|25|2|Low
16-02-033|1482|D.Gray-man|0|103|2|Low
16-02-033|16592|Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation|0|13|2|Low
16-02-033|26349|Danna ga Nani wo Itteiru ka Wakaranai Ken|0|13|2|Low
16-02-033|11843|Danshi Koukousei no Nichijou|0|12|2|Low
16-02-033|2025|Darker than Black: Kuro no Keiyakusha|0|25|2|Low
16-02-033|6573|Darker than Black: Ryuusei no Gemini|0|12|2|Low
16-02-033|6880|Deadman Wonderland|0|12|2|Low
16-02-033|14353|Death Billiards|0|1|2|Low
16-02-033|1535|Death Note|0|37|2|Low
16-02-033|28223|Death Parade|8|12|2|Medium
16-02-033|1221|Demashita! Powerpuff Girls Z|0|52|2|Low
16-02-033|5177|Denpa-teki na Kanojo|0|2|2|Low
16-02-033|3702|Detroit Metal City|0|12|2|Low
16-02-033|17513|Diabolik Lovers|0|12|2|Low
16-02-033|813|Dragon Ball Z|0|291|2|Low
16-02-033|6746|Durarara!!|0|24|2|Low
16-02-033|23199|Durarara!!x2 Shou|0|12|2|Low
16-02-033|15|Eyeshield 21|0|145|2|Low
16-02-033|6702|Fairy Tail|0|175|2|Low
16-02-033|18507|Free!|0|12|2|Low
16-02-033|120|Fruits Basket|0|26|2|Low
16-02-033|71|Full Metal Panic!|0|24|2|Low
16-02-033|72|Full Metal Panic? Fumoffu|0|12|2|Low
16-02-033|122|Full Moon wo Sagashite|0|52|2|Low
16-02-033|121|Fullmetal Alchemist|0|51|2|Low
16-02-033|5114|Fullmetal Alchemist: Brotherhood|0|64|2|Low
16-02-033|430|Fullmetal Alchemist: The Conqueror of Shamballa|0|1|2|Low
16-02-033|24765|Gakkougurashi!|0|12|2|Low
16-02-033|25183|Gangsta.|0|12|2|Low
16-02-033|18229|Gatchaman Crowds|0|12|2|Low
16-02-033|28907|Gate: Jieitai Kanochi nite, Kaku Tatakaeri|0|12|2|Low
16-02-033|23289|Gekkan Shoujo Nozaki-kun|0|12|2|Low
16-02-033|16918|Gin no Saji|0|11|2|Low
16-02-033|19363|Gin no Saji 2nd Season|0|11|2|Low
16-02-033|918|Gintama|0|201|2|Low
16-02-033|7472|Gintama Movie 1: Shinyaku Benizakura-hen|0|1|2|Low
16-02-033|15335|Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare|0|1|2|Low
16-02-033|9969|Gintama'|0|51|2|Low
16-02-033|15417|Gintama': Enchousen|0|13|2|Low
16-02-033|268|Golden Boy|0|6|2|Low
16-02-033|8425|Gosick|0|24|2|Low
16-02-033|245|Great Teacher Onizuka|0|43|2|Low
16-02-033|17729|Grisaia no Kajitsu|0|13|2|Low
16-02-033|29093|Grisaia no Meikyuu: Caprice no Mayu 0|0|1|2|Low
16-02-033|29095|Grisaia no Rakuen|0|10|2|Low
16-02-033|20583|Haikyuu!!|0|25|2|Low
16-02-033|263|Hajime no Ippo|0|75|2|Low
16-02-033|9289|Hanasaku Iroha|0|26|2|Low
16-02-033|15809|Hataraku Maou-sama!|0|13|2|Low
16-02-033|15225|Hentai Ouji to Warawanai Neko.|0|12|2|Low
16-02-033|934|Higurashi no Naku Koro ni|0|26|2|Low
16-02-033|135|Hikaru no Go|0|75|2|Low
16-02-033|10408|Hotarubi no Mori e|0|1|2|Low
16-02-033|8426|Hourou Musuko|0|11|2|Low
