AquilaN3ro|22199|Akame ga Kill!|0|17|1|None
AquilaN3ro|20787|Black Bullet|0|5|1|None
AquilaN3ro|235|Detective Conan|9|83|1|None
AquilaN3ro|22043|Fairy Tail (2014)|8|10|1|None
AquilaN3ro|918|Gintama|8|25|1|None
AquilaN3ro|246|Groove Adventure Rave|5|9|1|None
AquilaN3ro|8074|Highschool of the Dead|0|8|1|None
AquilaN3ro|1604|Katekyo Hitman Reborn!|9|171|1|None
AquilaN3ro|22535|Kiseijuu: Sei no Kakuritsu|0|3|1|None
AquilaN3ro|1735|Naruto: Shippuuden|7|375|1|None
AquilaN3ro|21|One Piece|9|660|1|None
AquilaN3ro|205|Samurai Champloo|8|20|1|None
AquilaN3ro|18277|Strike the Blood|8|20|1|None
AquilaN3ro|21881|Sword Art Online II|0|14|1|None
AquilaN3ro|20053|Wizard Barristers: Benmashi Cecil|0|5|1|None
AquilaN3ro|5525|07-Ghost|7|25|2|None
AquilaN3ro|6547|Angel Beats!|8|13|2|None
AquilaN3ro|11111|Another|8|12|2|None
AquilaN3ro|9919|Ao no Exorcist|9|25|2|None
AquilaN3ro|7674|Bakuman.|9|25|2|None
AquilaN3ro|10030|Bakuman. 2nd Season|9|25|2|None
AquilaN3ro|12365|Bakuman. 3rd Season|9|25|2|None
AquilaN3ro|9513|Beelzebub|7|60|2|None
AquilaN3ro|269|Bleach|9|366|2|None
AquilaN3ro|4975|ChäoS;HEAd|7|12|2|None
AquilaN3ro|1818|Claymore|7|26|2|None
AquilaN3ro|1575|Code Geass: Hangyaku no Lelouch|8|25|2|None
AquilaN3ro|2904|Code Geass: Hangyaku no Lelouch R2|9|25|2|None
AquilaN3ro|11703|Code:Breaker|8|13|2|None
AquilaN3ro|1535|Death Note|10|37|2|None
AquilaN3ro|226|Elfen Lied|7|13|2|None
AquilaN3ro|6702|Fairy Tail|10|175|2|None
AquilaN3ro|121|Fullmetal Alchemist|8|51|2|None
AquilaN3ro|5114|Fullmetal Alchemist: Brotherhood|10|64|2|None
AquilaN3ro|10793|Guilty Crown|9|22|2|None
AquilaN3ro|11061|Hunter x Hunter (2011)|10|148|2|None
AquilaN3ro|18679|Kill la Kill|10|24|2|None
AquilaN3ro|4898|Kuroshitsuji|7|24|2|None
AquilaN3ro|22145|Kuroshitsuji: Book of Circus|7|10|2|None
AquilaN3ro|18115|Magi: The Kingdom of Magic|9|25|2|None
AquilaN3ro|14513|Magi: The Labyrinth of Magic|9|25|2|None
AquilaN3ro|10620|Mirai Nikki|10|26|2|None
AquilaN3ro|20|Naruto|8|220|2|None
AquilaN3ro|13601|Psycho-Pass|9|22|2|None
AquilaN3ro|13759|Sakurasou no Pet na Kanojo|9|24|2|None
AquilaN3ro|7724|Shiki|7|22|2|None
AquilaN3ro|16498|Shingeki no Kyojin|9|25|2|None
AquilaN3ro|3588|Soul Eater|8|51|2|None
AquilaN3ro|9253|Steins;Gate|10|24|2|None
AquilaN3ro|11757|Sword Art Online|9|25|2|None
AquilaN3ro|22319|Tokyo Ghoul|8|12|2|None
AquilaN3ro|2581|Mobile Suit Gundam 00|0|0|6|None
AquilaN3ro|93|Mobile Suit Gundam SEED|0|0|6|None
AquilaN3ro|94|Mobile Suit Gundam SEED Destiny|0|0|6|None
AquilaN3ro|90|Mobile Suit Gundam Wing|0|0|6|None
