032|29978|1|0|1|2|Low
032|28761|00:08|0|1|2|Low
032|33696|3D Onara Gorou ga Dance Dance Dance!!|0|1|2|Low
032|22729|Aldnoah.Zero|0|12|2|Low
032|27655|Aldnoah.Zero 2nd Season|5|12|2|Low
032|1177|Alien 9|7|4|2|Low
032|2356|Amon: Devilman Mokushiroku|0|1|2|Low
032|11111|Another|6|12|2|Low
032|11701|Another: The Other - Inga|0|1|2|Low
032|5081|Bakemonogatari|9|15|2|Low
032|1468|Baoh Raihousha|0|1|2|Low
032|32379|Berserk|5|12|2|Low
032|34055|Berserk 2nd Season|0|12|2|Low
032|889|Black Lagoon|7|12|2|Low
032|4901|Black Lagoon: Roberta's Blood Trail|6|5|2|Low
032|1519|Black Lagoon: The Second Barrage|0|12|2|Low
032|36308|Blade Runner: Black Out 2022|0|1|2|Low
032|1055|Blame!|0|6|2|Low
032|3430|Blame! Prologue|0|2|2|Low
032|34618|Blend S|7|12|2|Low
032|1689|Byousoku 5 Centimeter|0|3|2|Low
032|2981|Chika Gentou Gekiga: Shoujo Tsubaki|0|1|2|Low
032|11867|Cipher|0|1|2|Low
032|1|Cowboy Bebop|8|26|2|Low
032|25731|Cross Ange: Tenshi to Ryuu no Rondo|7|25|2|Low
032|2724|Daicon Opening Animations|0|2|2|Low
032|35849|Darling in the FranXX|4|24|2|Low
032|974|Dead Leaves|0|1|2|Low
032|14353|Death Billiards|0|1|2|Low
032|28223|Death Parade|0|12|2|Low
032|5177|Denpa-teki na Kanojo|6|2|2|Low
032|35120|Devilman: Crybaby|0|10|2|Low
032|2354|Devilman: Tanjou-hen|0|1|2|Low
032|2355|Devilman: Yochou Sirene-hen|0|1|2|Low
032|225|Dragon Ball GT|0|64|2|Low
032|813|Dragon Ball Z|0|291|2|Low
032|31339|Drifters|0|12|2|Low
032|226|Elfen Lied|0|13|2|Low
032|376|Elfen Lied: Tooriame nite Arui wa, Shoujo wa Ikani Shite Sono Shinjou ni Itatta ka? - Regenschauer|0|1|2|Low
032|2759|Evangelion: 1.0 You Are (Not) Alone|0|1|2|Low
032|3784|Evangelion: 2.0 You Can (Not) Advance|0|1|2|Low
032|3785|Evangelion: 3.0 You Can (Not) Redo|0|1|2|Low
032|3167|Eve no Jikan|8|6|2|Low
032|34662|Fate/Apocrypha|0|25|2|Low
032|33047|Fate/Extra: Last Encore|6|10|2|Low
032|34321|Fate/Grand Order: First Order|0|1|2|Low
032|12565|Fate/Prototype|0|1|2|Low
032|356|Fate/stay night|7|24|2|Low
032|25537|Fate/stay night Movie: Heaven's Feel - I. Presage Flower|0|1|2|Low
032|6922|Fate/stay night Movie: Unlimited Blade Works|0|1|2|Low
032|22297|Fate/stay night: Unlimited Blade Works|0|12|2|Low
032|27821|Fate/stay night: Unlimited Blade Works - Prologue|0|1|2|Low
032|28701|Fate/stay night: Unlimited Blade Works 2nd Season|0|13|2|Low
032|31389|Fate/stay night: Unlimited Blade Works 2nd Season - Sunny Day|0|1|2|Low
032|10087|Fate/Zero|0|13|2|Low
032|11741|Fate/Zero 2nd Season|0|12|2|Low
032|317|Final Fantasy VII: Advent Children|0|1|2|Low
032|408|Final Fantasy VII: Last Order|0|1|2|Low
032|6151|Final Fantasy VII: On the Way to a Smile - Episode: Denzel|0|1|2|Low
032|2042|Five Star Stories|0|1|2|Low
032|227|FLCL|0|6|2|Low
032|18507|Free!|7|12|2|Low
032|22265|Free!: Eternal Summer|0|13|2|Low
032|26213|Free!: Eternal Summer - Kindan no All Hard!|0|1|2|Low
032|19671|Free!: FrFr - Short Movie|0|7|2|Low
032|4725|Ga-Rei: Zero|0|12|2|Low
032|3508|Genius Party|0|7|2|Low
032|6795|Genius Party Beyond|0|5|2|Low
032|2775|Genocyber|6|5|2|Low
032|43|Ghost in the Shell|0|1|2|Low
032|3016|Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture|0|1|2|Low
032|3014|Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai|0|1|2|Low
032|14131|Girls & Panzer|7|12|2|Low
032|18617|Girls & Panzer Movie|0|1|2|Low
032|32740|Girls & Panzer Movie Specials|0|1|2|Low
032|15811|Girls & Panzer Specials|0|6|2|Low
032|18619|Girls & Panzer: Kore ga Hontou no Anzio-sen Desu!|0|1|2|Low
032|10793|Guilty Crown|4|22|2|Low
032|10271|Gyakkyou Burai Kaiji: Hakairoku-hen|0|26|2|Low
032|3002|Gyakkyou Burai Kaiji: Ultimate Survivor|8|26|2|Low
032|23279|Gyakusatsu Kikan|0|1|2|Low
032|10417|Gyo|0|1|2|Low
032|30721|Hacka Doll The Animation|7|13|2|Low
032|1824|Hadashi no Gen|0|1|2|Low
032|413|Hametsu no Mars|3|1|2|Low
032|35006|Happy Party Train|0|1|2|Low
032|777|Hellsing Ultimate|7|10|2|Low
032|11077|Hellsing: The Dawn|0|3|2|Low
032|35286|Henkei Shoujo|0|5|2|Low
032|27989|Hibike! Euphonium|8|13|2|Low
032|22835|Himegoto|0|13|2|Low
032|20853|Hitsugi no Chaika|7|12|2|Low
032|24261|Hitsugi no Chaika OVA|0|1|2|Low
032|24231|Hitsugi no Chaika: Avenging Battle|0|10|2|Low
032|2050|Honoo no Tenkousei|0|2|2|Low
032|256|Hoshi no Koe|0|1|2|Low
032|578|Hotaru no Haka|0|1|2|Low
032|10408|Hotarubi no Mori e|0|1|2|Low
032|35557|Houseki no Kuni|8|12|2|Low
032|16774|Inferno Cop|7|13|2|Low
032|15059|Initial D Fifth Stage|0|14|2|Low
