-Juno-|35849|Darling in the FranXX|9|23|1|Low
-Juno-|37349|Goblin Slayer|0|2|1|Low
-Juno-|37517|Happy Sugar Life|0|1|1|Low
-Juno-|37141|Hataraku Saibou|0|1|1|Low
-Juno-|36296|Hinamatsuri|0|2|1|Low
-Juno-|37450|Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai|9|3|1|Low
-Juno-|35968|Wotaku ni Koi wa Muzukashii|0|6|1|Low
-Juno-|6682|11eyes|6|12|2|Low
-Juno-|9624|30-sai no Hoken Taiiku|8|12|2|Low
-Juno-|25397|Absolute Duo|7|12|2|Low
-Juno-|11759|Accel World|8|24|2|Low
-Juno-|12291|Acchi Kocchi (TV)|8|12|2|Low
-Juno-|30123|Akagami no Shirayuki-hime|8|12|2|Low
-Juno-|22199|Akame ga Kill!|10|24|2|Low
-Juno-|25241|Akame ga Kill! Theater|8|24|2|Low
-Juno-|47|Akira|8|1|2|Low
-Juno-|22729|Aldnoah.Zero|9|12|2|Low
-Juno-|27655|Aldnoah.Zero 2nd Season|8|12|2|Low
-Juno-|22147|Amagi Brilliant Park|9|13|2|Low
-Juno-|9989|Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.|8|11|2|Low
-Juno-|11111|Another|9|12|2|Low
-Juno-|24833|Ansatsu Kyoushitsu|8|22|2|Low
-Juno-|9919|Ao no Exorcist|7|25|2|Low
-Juno-|22789|Barakamon|8|12|2|Low
-Juno-|20787|Black Bullet|7|13|2|Low
-Juno-|12079|Black★Rock Shooter|7|1|2|Low
-Juno-|11633|Blood Lad|9|10|2|Low
-Juno-|31043|Boku dake ga Inai Machi|9|12|2|Low
-Juno-|31964|Boku no Hero Academia|8|13|2|Low
-Juno-|10719|Boku wa Tomodachi ga Sukunai|7|12|2|Low
-Juno-|1689|Byousoku 5 Centimeter|9|3|2|Low
-Juno-|30091|Chaos Dragon: Sekiryuu Seneki|6|12|2|Low
-Juno-|28999|Charlotte|8|13|2|Low
-Juno-|14741|Chuunibyou demo Koi ga Shitai!|9|12|2|Low
-Juno-|18671|Chuunibyou demo Koi ga Shitai! Ren|9|12|2|Low
-Juno-|2167|Clannad|9|23|2|Low
-Juno-|4181|Clannad: After Story|9|24|2|Low
-Juno-|1575|Code Geass: Hangyaku no Lelouch|10|25|2|Low
-Juno-|2904|Code Geass: Hangyaku no Lelouch R2|10|25|2|Low
-Juno-|15037|Corpse Party: Tortured Souls - Bougyakusareta Tamashii no Jukyou|7|4|2|Low
-Juno-|16592|Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation|7|13|2|Low
-Juno-|29067|Danna ga Nani wo Itteiru ka Wakaranai Ken 2 Sure-me|8|13|2|Low
-Juno-|15583|Date A Live|8|12|2|Low
-Juno-|19163|Date A Live II|8|10|2|Low
-Juno-|22961|Date A Live: Encore|7|1|2|Low
-Juno-|6880|Deadman Wonderland|8|12|2|Low
-Juno-|14353|Death Billiards|8|1|2|Low
-Juno-|1535|Death Note|10|37|2|Low
-Juno-|28223|Death Parade|9|12|2|Low
-Juno-|24031|Denki-gai no Honya-san|6|12|2|Low
-Juno-|9379|Denpa Onna to Seishun Otoko|7|12|2|Low
-Juno-|35120|Devilman: Crybaby|9|10|2|High
-Juno-|28121|Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka|8|13|2|Low
-Juno-|226|Elfen Lied|8|13|2|Low
-Juno-|32901|Eromanga-sensei|9|12|2|Low
-Juno-|14829|Fate/kaleid liner Prisma☆Illya|7|10|2|Low
-Juno-|10087|Fate/Zero|7|13|2|Low
-Juno-|227|FLCL|6|6|2|Low
-Juno-|33731|Gabriel DropOut|8|12|2|Low
-Juno-|2890|Gake no Ue no Ponyo|9|1|2|Low
-Juno-|24765|Gakkougurashi!|7|12|2|Low
-Juno-|25183|Gangsta.|8|12|2|Low
-Juno-|28907|Gate: Jieitai Kanochi nite, Kaku Tatakaeri|10|12|2|Low
-Juno-|31637|Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season|9|12|2|Low
-Juno-|23289|Gekkan Shoujo Nozaki-kun|8|12|2|Low
-Juno-|43|Ghost in the Shell|8|1|2|Low
-Juno-|24855|Girlfriend (Kari)|4|12|2|Low
-Juno-|14811|GJ-bu|7|12|2|Low
-Juno-|27631|God Eater|8|13|2|Low
-Juno-|17895|Golden Time|9|24|2|Low
-Juno-|17729|Grisaia no Kajitsu|6|13|2|Low
-Juno-|10793|Guilty Crown|7|22|2|Low
-Juno-|15809|Hataraku Maou-sama!|8|13|2|Low
-Juno-|15225|Hentai Ouji to Warawanai Neko.|8|12|2|Low
-Juno-|21541|Hentai Ouji to Warawanai Neko.: Henneko BBS|7|13|2|Low
-Juno-|27989|Hibike! Euphonium|8|13|2|Low
-Juno-|11617|High School DxD|7|12|2|Low
-Juno-|24703|High School DxD BorN|7|12|2|Low
-Juno-|15451|High School DxD New|7|12|2|Low
-Juno-|934|Higurashi no Naku Koro ni|9|26|2|Low
-Juno-|431|Howl no Ugoku Shiro|8|1|2|Low
-Juno-|12189|Hyouka|7|22|2|Low
-Juno-|24781|Imawa no Kuni no Alice (OVA)|8|3|2|Low
-Juno-|25159|Inou-Battle wa Nichijou-kei no Naka de|7|12|2|Low
-Juno-|11013|Inu x Boku SS|8|12|2|Low
-Juno-|21327|Isshuukan Friends.|7|12|2|Low
-Juno-|3092|Junjou Romantica|5|12|2|Low
-Juno-|5680|K-On!|8|13|2|Low
-Juno-|34933|Kakegurui|9|12|2|Low
