The_Elemental
Godofdarkness
memorieswithin
hibari-mukuro
Mangekyou
Mangekyou
Nuge
dQL
3li
Godofdarkness
Kilz
lawliet57
-steez-
Zatoichi
Kanna-Tomei
Hiraga
JTSlayer
Jaica-jeN_
-Karma-
XxCoffeCloudsxX
Xynx
-Karma-
Xynx
kyneval
Spirow
ItachiNight
jphillip724
bl1ndf1re
weaseluchiha
Half_Bl00d
noire18
