Darkeiko
mizugazipan
Arestyr
AtaraxiaM
Arestyr
AtaraxiaM
----
Xalengurth
SlyStrife
Rinatsu
Riebesleid
Washijyazo
Zeta_Nova
SkyPirate
Drakhaoul
SageShinigami
ivorykeys
Revillo_Phoenix
Loveless_Avenue
firstespada
Morningrise
Isaiah-Lazarus
Archer-ko
ido670
Gurenn
poljaff
Origa-san
