Faust721
Tarje
EmeraldWolfChild
Ahenshihael
Darkreaper70
Trineas
Tsubamex
Sakujo
Resuri
VK11
Crystal
Ria
Siva
Icephoenix
Asuka
ToumeiNingen
corroded
Gela-Chan
Ulquiorra
