halberdiers
Diceroll
DreamTheater2112
ShiraKiryuu
Diceroll
hJ
Crimsonwill
Sugarlat
Vongole
VARIAchan
Fer
VK11
Cenedess
Clarsiso
Momotaros
Hannarin
Hool
ToraMinamino
Cheonyu
Rizzle
SapphireStar26
BlackSnake56
Chouninatte
Ulquiorra
