Kuronoa
MistaCloudStrife
SlyStrife
Kira
JTSlayer
animeangel83
anony
Massaki
demondude777
-SeRg-
YoungVagabond
770312
DragonLord0
Shunhades
Scarlethill
MrChea
NOX_Arachne
Stratovarius223
AlcholicA
SDHFSDVSAD
deleteme234
ThunderAzoth
