hatsuka
FakerEmiya
aero
Kamina
Iteza
BenjoKun
Batmanfreak
Ungraveful
ChibiMilly
JTSlayer
Lyfa
Cyamone
crono22
Ryuga
Rethice
Imperial_Thunder
sifma
