Tyrfing
direbliss
VK11
Vin-nii
SoraKing
Ahenshihael
darkxdestiny
undead_blopa
pnay
Turbe
nihil
Crimsonwill
cliothekira
hanabiii
Desert_Spada
darkxdestiny
RaitoTheReaper
Ahenshihael
BlackStar
freakman012
Cello
Rootz
KyokoBeat
Ulquiorra
