KiraYoshikage
Ishmael
DarkSlasher
-The-Wolf-Cult-
hJ
Packie
stAtic91
hJ
Mormegil
smokes
Killy_Zouichi
Td99
Crimsonwill
Rasco
AlexSadist-sama
BruceLad
Tanma
Madara22
ClaudioLai2000
Ulquiorra
Ranxomare
Kajo_Senpai69
