Chiyo-ko
Shinkaron
EtnaEraclea
ahin
Alipio
Makunouchi_Ippo
VashXTrigun
YamiLoire
Ookami-Tora
Bara_Rock
-Yonkou-
Naam
Heavenfang
katana1600
Stiffmeister
MrsCrocodile
