blue_hitomi
D-Day1500
rlayer
EratiK
JMac525
RX-782
Guitarplayer18
xchee
Farabeuf
Wings
murhe
zetsu_shoren
Monad
jakov
HiImAnAlien
Ulquiorra
midnightblade
Always-Hungry
WanderingRonin
Ankylar
