CeroStrife
SidewalkSteve
ZackStrife
DistinctlyBenign
Tsunamu
TheDollPrincess
Razziell
animepeeps
Zephiroth-Strife
Theorys
naavi
shubs
magentaanbu
TheLastDarkAngel
crono22
Skarith
Proview
KingdomLady
Farfie
mariancho
Jalert
Iriya
yavanna22
xxRin
shibbyxoxo
shibbyxoxo
