Ishmael
JudgeRuthless
Tarje
gokuiit
avrc
Crimsonwill
KickassErik
Rasco
AlexSadist-sama
BruceLad
Tanma
Madara22
joe_g7
Mr_Shnb
ClaudioLai2000
Ulquiorra
Felidiane
Ranxomare
Kajo_Senpai69
