Legend
Frito
Kimura
Frito
Sohei
Saitoe
Thunderbolt
Drunk_Samurai
ladyxzeus
Baman
Kira01
eternal_blue
Sohei
Lynviathan
Neverender
Azamat
Vagabond
Zetsubou-san
Yup
StephanBlackhawk
Yggdrasil
Zetsubou-san
Zelgato
TPO
Karisma
TPO
Sick_Bastard
TPO
Rangouken
Hallodaar
GunstarHero
KeiseiHana
shinkeikaku
Baman
Chavez
4nt3k
Sohei
GunstarHero
tsuD
Shoumei
TheLlama
akai_ribbon
ColdBeans
BlindFighter
amaviz
Burek
franco
Kuumidori
Rangouken
Drunk_Samurai
Moonlapse
GunstarHero
Drybananna
Neverender
animeshowdown
Zetsubou-san
animeshowdown
Burek
ladyxzeus
genuineruckus
Boursk
IcyFlames
iLya
OmgMyBattery
KnowNothingShiva
dfsafsaf
mlgpotato
fvnwefjinewu
samskeyti
Itachi
Jack100HP
