-MgZ_
-SeRg-
107791
420420
88026666
Abgod
airwad999
Akai_Shinzo
AkumaDesu
alamarco
Alex_Dragneel
Alucar99
Anbu_08
animeboy12
animestarts99
Arata
are595
astro1848
audacious1
AXCHKO
Azaaka
AzNPr1dE88
battleknight45
Bla7e
BlaqPanda
Blejzik
BlutangelofChaos
brian58
Bubeq
BU_Harbinger
cafekun
cappy
CarLoZ
cdpaes
Celembrion
Cermer
chaingang789
Chaos-Zero
Chihiro
chiqui1970
CkretAznMan
Clubs
Cmeha
Coco_x3
comphermit
crowfield
csen
Daeverius
DarkAllenl
darknight89
destro
Dewllahan
divinecow
DmonHiro
draket3
Dreadevil
DSJFX18
Ecchi-chan
EcchiF
EcchiGoodness
EishirouBR
eL_marco
Empire
evreythinggoes
f-zero24
FelixTheChaos
fidoverano
FINALtestAMENt
flame13th
FlyingRamen
Foms
Frecklebob
FreeDan12
Frostea
frostfire
FullMetal628
FullMetalCoast
Gad
gamedoll
Gatck
Geeky_Dasein
Getsuga_Tensho
gnuelghost
GoshuushoSama
greg_cho
gunslinger
HaremPrince
hatsuharudeath
HAzArdrOxS
heartsphere
Henrik
Hikaru_Hino
Huan
hyoga11
hyper22
hyuuga64
I-AM-HELLS-SON
I-Keii
iAkumuXD
Ifrit30
Imperial_Thunder
Jay-kun
Jeff1244
jetlee1992
Juklas
JustiX-NL
kage-bunshin
kakaze
Kasoki
kazuki-shikimori
kensei69
Khalid
kiggakid
kill3r4life
Kilz
kimyouNeko
Kira_FallenAngel
Kira_Yamato619
Kittokun
kner
knit
kukaku
KuroDubZero
Kuzumi-sama
kwo8
lampeater
lashthebaddeed
Laurentius
LA_LA
liteup330
LittleCr0wxx
LockeFFVI
LUXLESS
Luzy
Maettsy
ManaAlchemist
mangakam
ManiTaku94
MapleTree
mar7o_G
matkub
MikhailFFig
Misa_Kakizaki
mitchoman
Mitsuhide82
MonstroZomg
nate23nate23
Nicky
NoSound
Noviomagus
Nuuskapeke
Oddballista
OriginalSaku
PantherRH
Pedr025
Pervect
phoenixknight
Phu
Prudenzzz
Quietknight
Raja
Rei_12
Renton
RenzAikawaX
reyfel
rhythm46
RockLee1
RoGv3
roscuro987
ryhricky
Ryuugan
Sabyth
samarti00
sancho
Sanom4
SatomeKoji
Sayuki74
sbadrunner
Seishi
Seron
sh4z
Shaku-sama
ShanaFlame
shibby06
shinigamikei
SilentOne
SilverDragon248
Silver_Kirin
Simon
SinfulZero
SkyKing
SnakeValentine
snifolino
sonyfan
Soulreaper
SoundSpark
Spielmann
Spike__
SUZUKAFAN
taippon
Tamonten
Tenshiholic
tgo720
theangel_adam
TheStrike
thongluver
Thowil
Thunderknight
ThunderPoke91
TigerCatE1
tns_prookie
Trametas
Ulti
unspokendesire
Unusername11
UzumakiKitsune
uzuratonkachi
Vaikyuko
vandir
VanillaMoon
Vasily91
virusx
VongolaPrimo
Westlo
wicky
XCookieJarX
xXLegacyXx
Yanato
Yesha-san
Yoruichi
Your_Master
Yui1212
yuzuko
Zaraiku
zero-writer
_Light_Yagami_
